,File,TF,IDF,TF-IDF
0,https://www.breitbart.com/politics/2021/11/02/virginia-voters-face-stark-choice-for-future-california-or-florida/,0.001,4.008,0.004
1,https://gellerreport.com/2021/10/wisconsin-elections-commission-holds-emergency-meeting-after-sheriffs-investigation-reveals-law-broken-in-2020.html/,0.001,4.008,0.004
2,https://thewashingtonstandard.com/american-militia-freedom-forces-we-are-at-war-time-for-the-rightful-rulers-ordained-by-god-to-do-our-duty-under-god/,0.001,4.008,0.004
3,https://www.deepcapture.com/2021/09/affidavit-of-ltc-theresa-long-m-d-in-support-of-a-motion-for-a-preliminary-injunction-order/,0,4.008,0
4,https://davidicke.com/2021/11/01/neil-oliver-we-havent-even-got-past-halloween-but-its-already-panto-season-at-cop26/,0,4.008,0
5,https://www.breitbart.com/politics/2021/11/02/marine-corps-commanders-form-letter-religious-exemptions/,0.002,4.008,0.008
6,https://thewashingtonstandard.com/bombshell-moderna-chief-medical-officer-admits-mrna-alters-dna/?fbclid=IwAR3SLSy0sD33jIHfQoD0hnHwjLtIZatDFPGPZIlttmfQEuxfK7XPychXGzQ,0.001,4.008,0.004
7,https://humansbefree.com/2020/12/the-covid-19-data-is-a-travesty-how-the-uk-and-us-covid-deaths-are-inflated.html,0.006,4.008,0.024
8,https://humansbefree.com/2021/03/cdc-report-admits-mask-wearing-provides-no-real-protection-against-covid.html,0.005,4.008,0.02
9,https://off-guardian.org/2021/11/01/21-covid-skeptic-memes-to-get-you-through-the-day-part-12/,0,4.008,0
