serial_number,uri,hash,
1,https://www.activistpost.com/2021/10/stop-medical-apartheid-police-passive-as-huge-crowd-protests-australias-draconian-pandemic-powers-bill.html,7946a621f1b02d1c7017b509198ff452,
2,https://beforeitsnews.com/strange/2021/10/mike-yeadon-timetable-to-tyranny-2478350.html,5c85c5b219f659a1d2bbbf62fb8c8c66,
3,https://www.ukcolumn.org/article/faux-facts-disturbing-truth-about-fullfactorg,de7f565c53f5d6afd92bb92b02c81763,
4,https://beforeitsnews.com/alternative/2021/11/q-zero-day-massive-cyber-power-attacks-11-4-military-start-indictments-unsealed-epic-triple-delta-3760962.html,bc841243195d031febb29bd7309f4185,
5,https://www.nytimes.com/2020/12/23/opinion/trump-biden-pardon.html,5e1b08303b10f069dfde67559599bca7,
6,https://www.ukcolumn.org/ukcolumn-news/uk-column-news-1st-november-2021,24ca6182c425188da10c60150b991dfe,
7,https://thewashingtonstandard.com/a-message-from-a-militia-leader-time-for-the-rightful-rulers-to-do-our-duty-video/,b2c1c3e23da5a0bf85f6951cd1d28d4b,
8,https://www.infowars.com/posts/moms-twitter-timeline-shows-transformation-from-pro-vax-to-pro-informed-consent-following-teen-sons-vaccine-injury/,d828a59df59f383895595317b91ac256,
9,https://www.breitbart.com/politics/2021/11/01/poll-only-36-percent-democrats-want-biden-2024-ticket-after-10-months-office/,82c04ba11a16d2208b96b334caa8c1cb,
10,https://beforeitsnews.com/prophecy/2021/03/new-president-donald-j-trump-interviewed-by-lara-trump-banned-on-facebook-2519951.html,4a8f826b0ed8a2e5ea8d70ac6f78f024,
11,https://davidicke.com/2021/03/31/number-of-pregnant-women-suffering-miscarriage-after-having-covid-vaccine-increases-by-483-in-just-7-weeks/,2d447998d8fe009654f4e913a6b2618a,
12,https://www.breitbart.com/economy/2021/11/01/rapidly-rising-prices-and-worsening-shortages-slowed-manufacturing-in-october/,68498c1dcb50889c1d2a7049effed4a6,
13,https://off-guardian.org/2021/10/25/75-years-counting-a-history-of-western-regime-change-in-syria-part-i/,6b81f2771a93c47296f64c74fe0b4a75,
14,https://www.rt.com/op-ed/507937-covid-pcr-test-fail/,6cf217bddff688916368c15c6ae03e0a,
15,https://davidicke.com/2021/03/30/uk-now-considering-digital-face-scanning-to-enter-pubs/,d67b9703059bd2e93cd5dc6a8d4d0969,
16,https://thewashingtonstandard.com/climate-change-myth-or-fact/,14379c98d4c9e162887ad9533d071563,
17,https://www.activistpost.com/2015/11/mitre-architects-of-the-new-manhattan-chemtrail-project.html,697131157d6c91ceb300fa6804cdc39a,
18,https://off-guardian.org/2021/10/08/the-fear-pandemic-and-the-crisis-of-capitalism/,c9a1745b1e94059cacf153d06c15e4a7,
19,https://www.breitbart.com/economy/2021/11/01/65-of-americans-say-economy-is-poor-only-30-expect-improvement/,96b5bb0feeced0f915248bd25d0b01a3,
20,https://off-guardian.org/2021/10/02/the-last-of-our-human-freedoms-covid-1984-meets-the-brave-new-normal/,3581f7dc7a99d24fcc921e3d11f966f7,
21,https://www.collective-evolution.com/2019/01/21/un-panel-discusses-white-helmets-criminal-activities-organ-theft-false-flag-terrorism/?fbclid=IwAR0kO-DWwlG8_XSyKRprj0FUmMDSrIb1fAB2XptlNYxMecVAahXKaMOMa4g,5de925458f2b868f98e8d21b1a6871ad,
22,https://www.ukcolumn.org/article/there-is-no-pandemic,e87ec69dce21a2257a702b120e972a0c,
23,https://www.sott.net/article/460131-Cuba-formally-joins-Chinas-Belt-and-Road-energy-partnership,9f314cfc5a02d38d7c827749188450ae,
24,https://gellerreport.com/2021/10/bidens-taliban-demands-recognition-or-consequences.html/,9175abbfa00948b9a77bdab0a6e07f5f,
25,https://api-assets.infowars.com/2021/11/opppiod.jpg,0ce9a959ac6067cf766609259810387f,
26,https://www.globalresearch.ca/alex-berenson-tells-joe-rogan-over-70-covid-19-deaths-england-fully-vaccinated-september/5759946,a0abd8e6e129b03370589bfbb4006c6e,
27,https://beforeitsnews.com/war-and-conflict/2021/10/us-military-speak-out-america-is-under-attack-prepare-yourself-now-a-must-see-video-2474044.html,3f403a1de4969574967d350608675319,
28,https://gellerreport.com/2021/03/paroled-murderer-beats-asian-woman.html/,26cd4bd8145e498bb25bb966e4fa1560,
29,https://twinybots.ch/,6d8b479153a2740b04b3dcdd65ad0370,
30,https://paper.li/Richards-News-OnLine?read=https%3A%2F%2Fwww.activistpost.com%2F2021%2F11%2Fi-was-fired-from-my-teaching-job-for-refusing-to-get-vaccinated-heres-how-i-prepared.html,889af958368a3ae55265ff55dcee7c0c,
31,https://www.globalresearch.ca/nucleic-acid-testing-technologies-use-polymerase-chain-reaction-pcr-detection-sars-cov-2/5739959,788d00d34bc75e059c3221dbeb01484e,
32,https://davidicke.com/2021/10/31/strange-how-many-super-fit-sports-people-suddenly-have-breathing-and-heart-problems-during-games-barcelona-striker-sergio-aguero-is-taken-to-hospital-for-heart-tests-after-struggling-with-breathing/,fdd355befdcd2da53256e602f3f7af2a,
33,https://thewashingtonstandard.com/36-of-us-workers-polled-say-their-employer-is-unlawfully-requiring-the-covid-shot/,0e7573071f9d2f5ccc81dc77c5352993,
34,https://www.ukcolumn.org/article/no-smoke-without-fire-part-2-t-cell-training-and-covid-19-vaccines,b9b0488769e899d72afd58285cc3a0ef,
35,https://www.ukcolumn.org/article/psychological-attack-uk-part-2,58778734314b4357495a4e420acda4d9,
