,movie_id,movie_title,average_rating,rating_count,weighted_rating
49,50,Star Wars (1977),4.36,583,2541.88
99,100,Fargo (1996),4.16,508,2113.28
180,181,Return of the Jedi (1983),4.01,507,2033.07
257,258,Contact (1997),3.8,509,1934.1999999999998
173,174,Raiders of the Lost Ark (1981),4.25,420,1785.0
126,127,"Godfather, The (1972)",4.28,413,1767.64
285,286,"English Patient, The (1996)",3.66,481,1760.46
0,1,Toy Story (1995),3.88,452,1753.76
97,98,"Silence of the Lambs, The (1991)",4.29,390,1673.1
287,288,Scream (1996),3.44,478,1644.32
55,56,Pulp Fiction (1994),4.06,394,1599.6399999999999
299,300,Air Force One (1997),3.63,431,1564.53
171,172,"Empire Strikes Back, The (1980)",4.2,367,1541.4
293,294,Liar Liar (1997),3.16,485,1532.6000000000001
6,7,Twelve Monkeys (1995),3.8,392,1489.6
312,313,Titanic (1997),4.25,350,1487.5
120,121,Independence Day (ID4) (1996),3.44,429,1475.76
236,237,Jerry Maguire (1996),3.71,384,1424.6399999999999
116,117,"Rock, The (1996)",3.69,378,1394.82
78,79,"Fugitive, The (1993)",4.04,336,1357.44
172,173,"Princess Bride, The (1987)",4.17,324,1351.08
203,204,Back to the Future (1985),3.83,350,1340.5
221,222,Star Trek: First Contact (1996),3.66,365,1335.9
317,318,Schindler's List (1993),4.47,298,1332.06
209,210,Indiana Jones and the Last Crusade (1989),3.93,331,1300.8300000000002
167,168,Monty Python and the Holy Grail (1974),4.07,316,1286.1200000000001
63,64,"Shawshank Redemption, The (1994)",4.45,283,1259.3500000000001
268,269,"Full Monty, The (1997)",3.93,315,1237.95
68,69,Forrest Gump (1994),3.85,321,1235.8500000000001
301,302,L.A. Confidential (1997),4.16,297,1235.52
21,22,Braveheart (1995),4.15,297,1232.5500000000002
150,151,Willy Wonka and the Chocolate Factory (1971),3.63,326,1183.3799999999999
95,96,Terminator 2: Judgment Day (1991),4.01,295,1182.95
194,195,"Terminator, The (1984)",3.93,301,1182.93
182,183,Alien (1979),4.03,291,1172.73
11,12,"Usual Suspects, The (1995)",4.39,267,1172.1299999999999
8,9,Dead Man Walking (1995),3.9,299,1166.1
422,423,E.T. the Extra-Terrestrial (1982),3.83,300,1149.0
190,191,Amadeus (1984),4.16,276,1148.16
404,405,Mission: Impossible (1996),3.31,344,1138.64
88,89,Blade Runner (1982),4.14,275,1138.5
256,257,Men in Black (1997),3.75,303,1136.25
215,216,When Harry Met Sally... (1989),3.91,290,1133.9
356,357,One Flew Over the Cuckoo's Nest (1975),4.29,264,1132.56
